,movie_id,name/year,genre,year,name,genre_list,genre_length,avg_rating,rating_count
12467,293429,Mortal Kombat (2021),Action|Adventure|Fantasy|Sci-Fi|Thriller,2021,Mortal Kombat,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']",5,6.336,125
13057,337692,On the Road (2012),Adventure|Drama|Romance,2012,On the Road,"['Adventure', 'Drama', 'Romance']",3,6.166666666666667,72
13335,359950,The Secret Life of Walter Mitty (2013),Adventure|Comedy|Drama|Fantasy|Romance,2013,The Secret Life of Walter Mitty,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']",5,7.553511705685619,1196
13439,365907,A Walk Among the Tombstones (2014),Action|Crime|Drama|Thriller,2014,A Walk Among the Tombstones,"['Action', 'Crime', 'Drama', 'Thriller']",4,6.51566265060241,415
13538,369610,Jurassic World (2015),Action|Adventure|Sci-Fi,2015,Jurassic World,"['Action', 'Adventure', 'Sci-Fi']",3,7.313207547169811,1325
13654,376136,The Rum Diary (2011),Comedy|Drama,2011,The Rum Diary,"['Comedy', 'Drama']",2,6.580645161290323,62
13834,385887,Motherless Brooklyn (2019),Crime|Drama,2019,Motherless Brooklyn,"['Crime', 'Drama']",2,6.728,125
14002,398286,Tangled (2010),Animation|Adventure|Comedy|Family|Fantasy|Musical|Romance,2010,Tangled,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",7,8.126760563380282,142
14041,401729,John Carter (2012),Action|Adventure|Sci-Fi,2012,John Carter,"['Action', 'Adventure', 'Sci-Fi']",3,6.442748091603053,131
14089,404978,Gambit (2012),Comedy|Crime,2012,Gambit,"['Comedy', 'Crime']",2,5.56043956043956,91
14166,409847,Cowboys &amp; Aliens (2011),Action|Sci-Fi|Thriller|Western,2011,Cowboys &amp; Aliens,"['Action', 'Sci-Fi', 'Thriller', 'Western']",4,6.428571428571429,84
14344,420293,The Stanford Prison Experiment (2015),Biography|Drama|History|Thriller,2015,The Stanford Prison Experiment,"['Biography', 'Drama', 'History', 'Thriller']",4,6.94,100
14506,429493,The A-Team (2010),Action|Adventure|Thriller,2010,The A-Team,"['Action', 'Adventure', 'Thriller']",3,6.990384615384615,104
14533,431021,The Possession (2012),Horror|Mystery|Thriller,2012,The Possession,"['Horror', 'Mystery', 'Thriller']",3,5.913793103448276,116
14552,433035,Real Steel (2011),Action|Drama|Family|Sci-Fi|Sport,2011,Real Steel,"['Action', 'Drama', 'Family', 'Sci-Fi', 'Sport']",5,7.562874251497006,167
14586,435651,The Giver (2014),Drama|Romance|Sci-Fi,2014,The Giver,"['Drama', 'Romance', 'Sci-Fi']",3,6.957142857142857,280
14594,435761,Toy Story 3 (2010),Animation|Adventure|Comedy|Family|Fantasy,2010,Toy Story 3,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",5,8.723076923076922,195
14618,437086,Alita: Battle Angel (2019),Action|Adventure|Sci-Fi|Thriller,2019,Alita: Battle Angel,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",4,7.477386934673367,398
14675,443272,Lincoln (2012),Biography|Drama|History|War,2012,Lincoln,"['Biography', 'Drama', 'History', 'War']",4,7.578703703703703,432
14682,443465,Before We Go (2014),Comedy|Drama|Romance,2014,Before We Go,"['Comedy', 'Drama', 'Romance']",3,7.111111111111111,180
14738,446029,Scott Pilgrim vs. the World (2010),Action|Comedy|Fantasy|Romance,2010,Scott Pilgrim vs. the World,"['Action', 'Comedy', 'Fantasy', 'Romance']",4,7.789719626168225,214
