,Unnamed: 0_x,tconst,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,directors,writers,actor,actress,archive_footage,archive_sound,cinematographer,composer,director_pr,editor,producer,production_designer,self,writer_pr,concat,Unnamed: 0_y,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,ROI_percent,ROI_usd,year,month,inflation,worldwide_gross_inf,domestic_gross_inf,production_budget_inf,ROI_USD_inf
0,20,tt0249516,Foodfight!,Foodfight!,2012,91.0,"['Action', 'Animation', 'Comedy']",1.9,8248.0,['nm0440415'],"['nm0440415', 'nm0923312', 'nm0295165', 'nm0841854', 'nm0220297']",['nm0000221'],"['nm0240381', 'nm0240380', 'nm0519456']",,,,,['nm0440415'],,['nm0257258'],,,"['nm0923312', 'nm0295165', 'nm0841854', 'nm0220297']",Foodfight!2012,1325,26,"Dec 31, 2012",Foodfight!,45000000,0,73706,-0.9983620888888888,-44926294,2012,December,1.19,87710.14,0.0,53550000.0,-53462289.86
1,54,tt0359950,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,2013,114.0,"['Adventure', 'Comedy', 'Drama']",7.3,275300.0,['nm0001774'],"['nm0175726', 'nm0862122']","['nm0001774', 'nm1789985']","['nm1325419', 'nm1063517']",,,,['nm0788640'],,,"['nm0180366', 'nm0326412', 'nm0326415']",,,"['nm0175726', 'nm0862122']",The Secret Life of Walter Mitty2013,436,37,"Dec 25, 2013",The Secret Life of Walter Mitty,91000000,58236838,187861183,1.0644086043956045,96861183,2013,December,1.17,219797584.11,68137100.46,106470000.0,113327584.10999998
2,58,tt0365907,A Walk Among the Tombstones,A Walk Among the Tombstones,2014,114.0,"['Action', 'Crime', 'Drama']",6.5,105116.0,['nm0291082'],"['nm0088747', 'nm0291082']","['nm0000553', 'nm1405398', 'nm1092086', 'nm2933542']",,,,,,['nm0291082'],,"['nm0787834', 'nm1180690', 'nm0000362', 'nm1003922']",,,['nm0088747'],A Walk Among the Tombstones2014,2066,67,"Sep 19, 2014",A Walk Among the Tombstones,28000000,26017685,62108587,1.2181638214285715,34108587,2014,September,1.15,71424875.05,29920337.75,32200000.0,39224875.05
3,60,tt0369610,Jurassic World,Jurassic World,2015,124.0,"['Action', 'Adventure', 'Sci-Fi']",7.0,539338.0,['nm1119880'],"['nm0415425', 'nm0798646', 'nm1119880', 'nm2081046', 'nm0000341']","['nm0695435', 'nm1339223']","['nm0397171', 'nm0339460']",,,,,['nm1119880'],,['nm0189777'],,,"['nm0415425', 'nm0798646', 'nm2081046', 'nm0000341']",Jurassic World2015,33,34,"Jun 12, 2015",Jurassic World,215000000,652270625,1648854864,6.669092390697673,1433854864,2015,June,1.15,1896183093.6,750111218.75,247250000.0,1648933093.6
4,62,tt0376136,The Rum Diary,The Rum Diary,2011,119.0,"['Comedy', 'Drama']",6.2,94787.0,['nm0732430'],"['nm0732430', 'nm0860219']","['nm0000136', 'nm0000610', 'nm0001173', 'nm0728346']",,,,,,['nm0732430'],,"['nm0470420', 'nm0218259', 'nm2593874', 'nm0454752']",,,['nm0860219'],The Rum Diary2011,1315,16,"Oct 28, 2011",The Rum Diary,45000000,13109815,21544732,-0.5212281777777777,-23455268,2011,October,1.21,26069125.72,15862876.15,54450000.0,-28380874.28
5,67,tt0383010,The Three Stooges,The Three Stooges,2012,92.0,"['Comedy', 'Family']",5.1,28570.0,"['nm0268380', 'nm0268370']","['nm0148808', 'nm0268370', 'nm0268380']","['nm0005003', 'nm0224565', 'nm0766005']",['nm0528331'],,,,['nm0002201'],"['nm0268370', 'nm0268380']",,"['nm0858554', 'nm0921853']",,,['nm0148808'],The Three Stooges2012,1903,4,"Apr 13, 2012",The Three Stooges,30000000,44338224,54052249,0.8017416333333334,24052249,2012,April,1.19,64322176.31,52762486.56,35700000.0,28622176.309999995
6,71,tt0398286,Tangled,Tangled,2010,100.0,"['Adventure', 'Animation', 'Comedy']",7.8,366366.0,"['nm1977355', 'nm0397174']","['nm1557594', 'nm0342278', 'nm0342303']","['nm1157048', 'nm0000579']","['nm0601553', 'nm0614220']",,,,,"['nm1977355', 'nm0397174']",,['nm0174807'],,,"['nm1557594', 'nm0342278', 'nm0342303']",Tangled2010,14,15,"Nov 24, 2010",Tangled,260000000,200821936,586477240,1.2556816923076923,326477240,2010,November,1.25,733096550.0,251027420.0,325000000.0,408096550.0
7,73,tt0401729,John Carter,John Carter,2012,132.0,"['Action', 'Adventure', 'Sci-Fi']",6.6,241792.0,['nm0004056'],"['nm0004056', 'nm0028764', 'nm0149290', 'nm0123194']","['nm2018237', 'nm0000353']","['nm1211488', 'nm0608090']",,,,,['nm0004056'],,"['nm0606640', 'nm0172491']",,,"['nm0028764', 'nm0149290', 'nm0123194']",John Carter2012,13,14,"Mar 9, 2012",John Carter,275000000,73058679,282778100,0.028283999999999997,7778100,2012,March,1.19,336505939.0,86939828.00999999,327250000.0,9255939.0
8,92,tt0427152,Dinner for Schmucks,Dinner for Schmucks,2010,114.0,['Comedy'],5.9,91546.0,['nm0005366'],"['nm1115862', 'nm1911349', 'nm0891554']","['nm0136797', 'nm0748620', 'nm0302108']",['nm1210895'],,,,,['nm0005366'],,"['nm0662748', 'nm0531827']",,,"['nm1115862', 'nm1911349', 'nm0891554']",Dinner for Schmucks2010,750,51,"Jul 30, 2010",Dinner for Schmucks,69000000,73026337,86796502,0.2579203188405797,17796502,2010,July,1.25,108495627.5,91282921.25,86250000.0,22245627.5
9,95,tt0429493,The A-Team,The A-Team,2010,117.0,"['Action', 'Adventure', 'Thriller']",6.8,235256.0,['nm0138620'],"['nm0138620', 'nm0089141', 'nm0940790', 'nm0526967', 'nm0004798']","['nm0000553', 'nm0177896', 'nm1663205']",['nm0004754'],,,,,['nm0138620'],,['nm0198467'],,,"['nm0089141', 'nm0940790', 'nm0526967', 'nm0004798']",The A-Team2010,331,32,"Jun 11, 2010",The A-Team,110000000,77222099,177241171,0.6112833727272727,67241171,2010,June,1.25,221551463.75,96527623.75,137500000.0,84051463.75
10,97,tt0431021,The Possession,The Possession,2012,92.0,"['Horror', 'Mystery', 'Thriller']",5.9,53649.0,['nm0097079'],"['nm0925482', 'nm1757236', 'nm1340000']",['nm0604742'],"['nm2828435', 'nm0001718', 'nm1956478']",,,,,['nm0097079'],,"['nm0849964', 'nm0000600']",,,"['nm1340000', 'nm0925482', 'nm1757236']",The Possession2012,3180,81,"Aug 31, 2012",The Possession,14000000,49130588,82925064,4.9232188571428575,68925064,2012,August,1.19,98680826.16,58465399.72,16660000.0,82020826.16
11,99,tt0433035,Real Steel,Real Steel,2011,127.0,"['Action', 'Drama', 'Family']",7.1,283534.0,['nm0506613'],"['nm0309691', 'nm0319659', 'nm0505230', 'nm0558577']","['nm0413168', 'nm2023672', 'nm1107001']",['nm1431940'],,,,,['nm0506613'],,['nm1848205'],,,"['nm0309691', 'nm0319659', 'nm0505230', 'nm0558577']",Real Steel2011,330,31,"Oct 7, 2011",Real Steel,110000000,85463309,263880341,1.398912190909091,153880341,2011,October,1.21,319295212.61,103410603.89,133100000.0,186195212.61
12,103,tt0435651,The Giver,The Giver,2014,97.0,"['Drama', 'Romance', 'Sci-Fi']",6.5,104999.0,['nm0637518'],"['nm2276729', 'nm0004332', 'nm0523342']","['nm4154798', 'nm0000313']","['nm0000658', 'nm2357847']",,,,,['nm0637518'],,"['nm1012185', 'nm0462867']",,,"['nm2276729', 'nm0004332', 'nm0523342']",The Giver2014,2201,2,"Aug 15, 2014",The Giver,25000000,45090374,66540205,1.6616081999999999,41540205,2014,August,1.15,76521235.75,51853930.1,28750000.0,47771235.75
13,104,tt0435761,Toy Story 3,Toy Story 3,2010,103.0,"['Adventure', 'Animation', 'Comedy']",8.3,682218.0,['nm0881279'],"['nm0005124', 'nm0004056', 'nm0881279', 'nm1578335']","['nm0000158', 'nm0000741', 'nm0000885']",['nm0000349'],,,,['nm0005271'],['nm0881279'],,['nm0026565'],,,"['nm0005124', 'nm0004056', 'nm1578335']",Toy Story 32010,46,47,"Jun 18, 2010",Toy Story 3,200000000,415004880,1068879522,4.34439761,868879522,2010,June,1.25,1336099402.5,518756100.0,250000000.0,1086099402.5
14,107,tt0437086,Alita: Battle Angel,Alita: Battle Angel,2019,122.0,"['Action', 'Adventure', 'Sci-Fi']",7.5,88207.0,['nm0001675'],"['nm0000116', 'nm0436164', 'nm1738737']","['nm0910607', 'nm0991810']","['nm4023073', 'nm0000124']",,,,['nm0432725'],['nm0001675'],,['nm0484457'],,,"['nm0000116', 'nm0436164', 'nm1738737']",Alita: Battle Angel2019,123,24,"Feb 14, 2019",Alita: Battle Angel,170000000,85710210,402976036,1.3704472705882351,232976036,2019,February,1.07,431184358.52,91709924.7,181900000.0,249284358.52000004
15,115,tt0443272,Lincoln,Lincoln,2012,150.0,"['Biography', 'Drama', 'History']",7.4,228701.0,['nm0000229'],"['nm1065785', 'nm0329447']","['nm0000358', 'nm0000657', 'nm0330687']",['nm0000398'],,,['nm0001405'],['nm0002354'],['nm0000229'],,['nm0005086'],,,"['nm1065785', 'nm0329447']",Lincoln2012,772,73,"Nov 9, 2012",Lincoln,65000000,182207973,273346281,3.2053274,208346281,2012,November,1.19,325282074.39,216827487.87,77350000.0,247932074.39
16,118,tt0443533,The History of Love,The History of Love,2016,134.0,"['Drama', 'Romance', 'War']",6.3,1024.0,['nm0586123'],"['nm0586123', 'nm0738925', 'nm1842569']","['nm0001394', 'nm0001285']","['nm2605345', 'nm4563869']",,,,['nm0023940'],['nm0586123'],,"['nm2275877', 'nm2274042']",,,"['nm0738925', 'nm1842569']",The History of Love2016,2711,12,"Nov 18, 2016",The History of Love,20000000,0,476624,-0.9761688000000001,-19523376,2016,November,1.14,543351.36,0.0,22800000.0,-22256648.64
17,125,tt0448115,Shazam!,Shazam!,2019,132.0,"['Action', 'Adventure', 'Comedy']",7.4,109051.0,['nm2497546'],"['nm2849655', 'nm0501359', 'nm1791910', 'nm1304148']","['nm1157048', 'nm0835016', 'nm4755508', 'nm6244013']",,,,,,['nm2497546'],,['nm0755911'],,,"['nm2849655', 'nm0501359', 'nm1791910', 'nm1304148']",Shazam!2019,496,97,"Apr 5, 2019",Shazam!,85000000,139606856,362899733,3.269408623529412,277899733,2019,April,1.07,388302714.31,149379335.92000002,90950000.0,297352714.31
18,126,tt0448694,Puss in Boots,Puss in Boots,2011,90.0,"['Action', 'Adventure', 'Animation']",6.6,133355.0,['nm3735491'],"['nm1117226', 'nm0528244', 'nm0204030', 'nm0011470', 'nm0674518', 'nm0825738']","['nm0000104', 'nm0302108', 'nm0000671']",['nm0000161'],,,,,['nm3735491'],,,,,"['nm0674518', 'nm1117226', 'nm0528244', 'nm0204030', 'nm0011470']",Puss in Boots2011,245,46,"Oct 28, 2011",Puss in Boots,130000000,149260504,554987477,3.2691344384615384,424987477,2011,October,1.21,671534847.17,180605209.84,157300000.0,514234847.17
19,131,tt0451279,Wonder Woman,Wonder Woman,2017,141.0,"['Action', 'Adventure', 'Fantasy']",7.5,487527.0,['nm0420941'],"['nm0374302', 'nm0811583', 'nm0297229', 'nm0551376', 'nm4243936']",['nm1517976'],"['nm2933757', 'nm0000705', 'nm0205063']",,,,,['nm0420941'],,,,,"['nm4243936', 'nm0374302', 'nm0811583', 'nm0297229', 'nm0551376']",Wonder Woman2017,154,55,"Jun 2, 2017",Wonder Woman,150000000,412563408,821133378,4.47422252,671133378,2017,June,1.11,911458049.58,457945382.88000005,166500000.0,744958049.58
20,134,tt0453562,42,42,2013,128.0,"['Biography', 'Drama', 'Sport']",7.5,77703.0,['nm0001338'],['nm0001338'],"['nm1569276', 'nm1165660', 'nm0000148']",['nm2718512'],,,['nm0121281'],['nm0006142'],['nm0001338'],"['nm0830615', 'nm0574097']",['nm2100078'],,,,422013,1821,22,"Apr 12, 2013",42,31000000,95020213,97470701,2.1442161612903226,66470701,2013,April,1.17,114040720.17,111173649.21,36270000.0,77770720.16999999
21,136,tt0454876,Life of Pi,Life of Pi,2012,127.0,"['Adventure', 'Drama', 'Fantasy']",7.9,535836.0,['nm0000487'],"['nm1674631', 'nm1341735']","['nm4139037', 'nm0451234', 'nm1300009']",['nm0007102'],,,,['nm0002217'],['nm0000487'],,"['nm0626696', 'nm0003720']",,,"['nm1674631', 'nm1341735']",Life of Pi2012,287,88,"Nov 21, 2012",Life of Pi,120000000,124987022,620912003,4.174266691666666,500912003,2012,November,1.19,738885283.5699999,148734556.18,142800000.0,596085283.5699999
22,138,tt0455407,The Crazies,The Crazies,2010,101.0,"['Horror', 'Thriller']",6.5,104465.0,['nm0252135'],"['nm0466925', 'nm1242522', 'nm0001681']","['nm0648249', 'nm1725848']","['nm0593664', 'nm1263939']",,,,,['nm0252135'],,"['nm0184620', 'nm0013583']",,,"['nm0466925', 'nm1242522', 'nm0001681']",The Crazies2010,2735,36,"Feb 26, 2010",The Crazies,19000000,39123589,56445534,1.9708175789473683,37445534,2010,February,1.25,70556917.5,48904486.25,23750000.0,46806917.5
23,139,tt0455944,The Equalizer,The Equalizer,2014,132.0,"['Action', 'Crime', 'Thriller']",7.2,302302.0,['nm0298807'],"['nm0921013', 'nm0805994', 'nm2030456']","['nm0000243', 'nm0190744', 'nm1092086']",['nm1631269'],,,,,['nm0298807'],,"['nm0089820', 'nm0085542']",,,"['nm0921013', 'nm0805994', 'nm2030456']",The Equalizer2014,995,96,"Sep 26, 2014",The Equalizer,55000000,101530738,192903624,2.5073386181818185,137903624,2014,September,1.15,221839167.6,116760348.7,63249999.99999999,158589167.6
24,141,tt0458339,Captain America: The First Avenger,Captain America: The First Avenger,2011,124.0,"['Action', 'Adventure', 'Sci-Fi']",6.9,668137.0,['nm0002653'],"['nm1321655', 'nm1321656', 'nm0800209', 'nm0456158']","['nm0262635', 'nm0915989', 'nm0000168']",['nm2017943'],,,,,['nm0002653'],,['nm0270559'],,,"['nm1321655', 'nm1321656', 'nm0800209', 'nm0456158']",Captain America: The First Avenger2011,209,10,"Jul 22, 2011",Captain America: The First Avenger,140000000,176654505,370569776,1.6469269714285717,230569776,2011,July,1.21,448389428.96,213751951.05,169400000.0,278989428.96
