,movie_id,name/year,genre,year,name,genre_list,genre_length,Genre1,Genre2,Genre3,Genre4,Genre5,Genre6,Genre7,Genre8,Genre9,Genre10,avg_rating,rating_count
961,35423,Kate &amp; Leopold (2001),Comedy|Fantasy|Romance,2001,Kate &amp; Leopold,"['Comedy', 'Fantasy', 'Romance']",3,Comedy,Fantasy,Romance,,,,,,,,6.464285714285714,28
3856,66498,Ucho (1990),Drama|Thriller,1990,Ucho,"['Drama', 'Thriller']",2,Drama,Thriller,,,,,,,,,8.5,2
4175,69049,The Other Side of the Wind (2018),Drama,2018,The Other Side of the Wind,['Drama'],1,Drama,,,,,,,,,,6.428571428571429,7
7249,95878,Pledge Night (1990),Comedy|Horror,1990,Pledge Night,"['Comedy', 'Horror']",2,Comedy,Horror,,,,,,,,,5.5,2
7278,96056,Crime and Punishment (2002),Drama,2002,Crime and Punishment,['Drama'],1,Drama,,,,,,,,,,6.0,1
7343,96786,Alienator (1990),Action|Sci-Fi,1990,Alienator,"['Action', 'Sci-Fi']",2,Action,Sci-Fi,,,,,,,,,3.0,1
7352,96871,Baby Blood (1990),Horror,1990,Baby Blood,['Horror'],1,Horror,,,,,,,,,,6.0,1
7354,96875,Catchfire (1990),Action|Comedy|Crime|Drama|Romance|Thriller,1990,Catchfire,"['Action', 'Comedy', 'Crime', 'Drama', 'Romance', 'Thriller']",6,Action,Comedy,Crime,Drama,Romance,Thriller,,,,,6.0,2
7367,96954,Bloodmoon (1990),Horror|Thriller,1990,Bloodmoon,"['Horror', 'Thriller']",2,Horror,Thriller,,,,,,,,,6.0,1
7370,96971,The Bounty Hunter (1990),Action|Crime,1990,The Bounty Hunter,"['Action', 'Crime']",2,Action,Crime,,,,,,,,,2.0,1
7391,97106,Conte de printemps (1990),Comedy|Drama|Romance,1990,Conte de printemps,"['Comedy', 'Drama', 'Romance']",3,Comedy,Drama,Romance,,,,,,,,7.5,2
7401,97176,Deceit (1992),Comedy|Sci-Fi,1992,Deceit,"['Comedy', 'Sci-Fi']",2,Comedy,Sci-Fi,,,,,,,,,6.0,1
7450,97550,I Bought a Vampire Motorcycle (1990),Comedy|Horror,1990,I Bought a Vampire Motorcycle,"['Comedy', 'Horror']",2,Comedy,Horror,,,,,,,,,5.0,1
7488,97874,Metamorphosis (1990),Horror|Sci-Fi,1990,Metamorphosis,"['Horror', 'Sci-Fi']",2,Horror,Sci-Fi,,,,,,,,,6.0,1
7492,97891,Wilt (1990),Comedy|Crime,1990,Wilt,"['Comedy', 'Crime']",2,Comedy,Crime,,,,,,,,,10.0,1
7579,98532,Tulitikkutehtaan tyttö (1990),Drama|Comedy,1990,Tulitikkutehtaan tyttö,"['Drama', 'Comedy']",2,Drama,Comedy,,,,,,,,,7.733333333333333,15
7598,98966,3 Men and a Little Lady (1990),Comedy|Drama|Family|Romance,1990,3 Men and a Little Lady,"['Comedy', 'Drama', 'Family', 'Romance']",4,Comedy,Drama,Family,Romance,,,,,,,5.8,5
7599,98967,3-4 x jûgatsu (1990),Action|Comedy|Crime|Drama|Thriller,1990,3-4 x jûgatsu,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",5,Action,Comedy,Crime,Drama,Thriller,,,,,,5.0,1
7600,98976,Aaj Ka Arjun (1990),Action|Crime|Drama,1990,Aaj Ka Arjun,"['Action', 'Crime', 'Drama']",3,Action,Crime,Drama,,,,,,,,5.0,1
